Name,Time,Cumulative PnL
Toy,2021-Nov-05 16:14:54.053445,-86.335191
Toy,2021-Nov-05 16:15:55.355944,-77.335191
Toy,2021-Nov-05 16:16:55.977047,-88.335191
Toy,2021-Nov-05 16:17:57.321121,-276.335191
Toy,2021-Nov-05 16:19:00.742188,-276.335191
Toy,2021-Nov-05 16:20:02.544840,-276.335191
Toy,2021-Nov-05 16:21:05.232794,-276.335191
Toy,2021-Nov-05 16:22:09.530190,-276.335191
Toy,2021-Nov-05 16:23:10.110546,-51.335191
Toy,2021-Nov-05 16:24:13.042768,-47.335191
Toy,2021-Nov-05 16:25:14.969867,-40.335191
Toy,2021-Nov-05 16:26:17.618400,-276.335191
Toy,2021-Nov-05 16:27:18.836645,-56.335191
Toy,2021-Nov-05 16:28:21.375066,-276.335191
Toy,2021-Nov-05 16:29:22.793842,-45.335191
Toy,2021-Nov-05 16:30:24.421145,-276.335191
Toy,2021-Nov-05 16:31:25.258100,-57.335191
Toy,2021-Nov-05 16:32:26.728165,-276.335191
Toy,2021-Nov-05 16:33:27.925722,-48.335191
Toy,2021-Nov-05 16:34:29.642220,-47.335191
Toy,2021-Nov-05 16:35:34.758021,-58.335191
Toy,2021-Nov-05 16:36:35.914480,-56.335191
Toy,2021-Nov-05 16:37:41.717933,-40.335191
Toy,2021-Nov-05 16:38:43.599764,-22.335191
Toy,2021-Nov-05 16:39:51.104039,-276.335191
Toy,2021-Nov-05 16:40:52.671049,-26.335191
Toy,2021-Nov-05 16:41:55.302412,-276.335191
Toy,2021-Nov-05 16:42:58.252548,-26.335191
Toy,2021-Nov-05 16:43:59.160681,-29.335191
Toy,2021-Nov-05 16:45:02.648756,-276.335191
Toy,2021-Nov-05 16:46:04.146646,-276.335191
Toy,2021-Nov-05 16:47:05.857138,-29.335191
Toy,2021-Nov-05 16:48:08.246938,-276.335191
Toy,2021-Nov-05 16:49:09.180235,-28.335191
Toy,2021-Nov-05 16:50:09.760946,-276.335191
Toy,2021-Nov-05 16:51:11.724043,-276.335191
Toy,2021-Nov-05 16:52:12.911557,-32.335191
Toy,2021-Nov-05 16:53:13.981950,-37.335191
Toy,2021-Nov-05 16:54:14.768318,-276.335191
Toy,2021-Nov-05 16:55:16.223173,-49.335191
Toy,2021-Nov-05 16:56:17.741063,-39.335191
Toy,2021-Nov-05 16:57:19.678853,-33.335191
Toy,2021-Nov-05 16:58:21.060057,-15.335191
Toy,2021-Nov-05 16:59:22.388243,-276.335191
Toy,2021-Nov-05 17:00:23.620272,-28.335191
Toy,2021-Nov-05 17:01:24.698086,-16.335191
Toy,2021-Nov-05 17:02:26.004990,-276.335191
Toy,2021-Nov-05 17:03:29.869861,-33.335191
