StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
Toy,2021-Nov-05 13:31:00.693442,AXP,100,176.670000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081899,,FILL
Toy,2021-Nov-05 13:31:01.743644,MSFT,100,337.490000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081897,,FILL
Toy,2021-Nov-05 13:31:09.886263,MSFT,-200,337.690000,1.752851,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081908,,FILL
Toy,2021-Nov-05 13:31:30.617047,CVX,100,114.110000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081917,,FILL
Toy,2021-Nov-05 13:31:30.659258,DIS,4,172.790000,0.004800,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081920,,FILL
Toy,2021-Nov-05 13:31:31.108410,DIS,96,172.790000,0.115200,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081920,,FILL
Toy,2021-Nov-05 13:31:42.676598,MSFT,200,337.530000,0.240000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081925,,FILL
Toy,2021-Nov-05 13:31:56.224011,CVX,-100,114.070000,0.375517,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081923,,FILL
Toy,2021-Nov-05 13:31:57.312059,MSFT,-50,337.540000,0.438045,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081934,,FILL
Toy,2021-Nov-05 13:31:57.485666,MSFT,-7,337.540000,0.061326,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081934,,FILL
Toy,2021-Nov-05 13:31:57.721696,MSFT,-10,337.540000,0.087609,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081934,,FILL
Toy,2021-Nov-05 13:32:03.750199,CVX,-100,114.070000,0.375517,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081923,,FILL
Toy,2021-Nov-05 13:32:05.260519,CSCO,-100,57.240000,0.248218,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081937,,FILL
Toy,2021-Nov-05 13:32:12.199824,CRM,-100,309.140000,0.812474,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081936,,FILL
Toy,2021-Nov-05 13:32:31.156751,MSFT,67,337.150000,0.080400,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081945,,FILL
Toy,2021-Nov-05 13:33:00.544408,MSFT,-48,337.090000,0.420039,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081953,,FILL
Toy,2021-Nov-05 13:33:00.544410,MSFT,-2,337.090000,0.017502,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081953,,FILL
Toy,2021-Nov-05 13:33:07.647922,DOW,-100,57.960000,0.249830,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081954,,FILL
Toy,2021-Nov-05 13:33:57.612303,IBM,-100,121.780000,0.392787,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081965,,FILL
Toy,2021-Nov-05 13:34:01.975390,MSFT,-150,336.790000,1.311614,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081968,,FILL
Toy,2021-Nov-05 13:34:02.688205,HON,-100,224.070000,0.621917,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081962,,FILL
Toy,2021-Nov-05 13:34:06.326615,BA,100,218.660000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081970,,FILL
Toy,2021-Nov-05 13:34:13.121836,MSFT,200,336.840000,0.240000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081975,,FILL
Toy,2021-Nov-05 13:35:00.667558,MSFT,-200,336.890000,1.749267,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081980,,FILL
Toy,2021-Nov-05 13:35:34.015561,CAT,-33,205.980000,0.191860,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081985,,FILL
Toy,2021-Nov-05 13:36:00.682288,MSFT,200,336.930000,0.240000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081983,,FILL
Toy,2021-Nov-05 13:36:04.886844,MSFT,-200,336.910000,1.749357,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081988,,FILL
Toy,2021-Nov-05 13:36:49.622874,MSFT,100,337.010000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081990,,FILL
Toy,2021-Nov-05 13:36:49.656107,MSFT,100,337.010000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081990,,FILL
Toy,2021-Nov-05 13:36:50.171885,MSFT,-50,337.040000,0.437485,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081994,,FILL
Toy,2021-Nov-05 13:36:50.172263,MSFT,-150,337.040000,1.312454,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081994,,FILL
Toy,2021-Nov-05 13:38:23.622358,GS,100,412.770000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082004,,FILL
Toy,2021-Nov-05 13:39:47.123027,CAT,100,206.250000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082011,,FILL
Toy,2021-Nov-05 13:39:47.146729,CAT,33,206.250000,0.039600,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082011,,FILL
Toy,2021-Nov-05 13:41:03.718765,MSFT,200,337.110000,0.240000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081997,,FILL
Toy,2021-Nov-05 13:43:00.854953,CRM,50,308.600000,0.060000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081947,,FILL
Toy,2021-Nov-05 13:43:00.862521,CRM,15,308.600000,0.018000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330081947,,FILL
Toy,2021-Nov-05 13:44:31.030351,CRM,-65,308.510000,0.527191,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082025,,FILL
Toy,2021-Nov-05 13:45:45.325036,HD,-100,373.460000,0.956550,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082030,,FILL
Toy,2021-Nov-05 13:46:02.173125,CRM,100,308.030000,0.120000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082026,,FILL
Toy,2021-Nov-05 13:46:15.834511,MSFT,-200,337.060000,1.750029,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082014,,FILL
Toy,2021-Nov-05 13:46:26.659899,MSFT,2,336.960000,0.002400,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082034,,FILL
Toy,2021-Nov-05 13:46:26.743868,MSFT,198,336.960000,0.237600,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082034,,FILL
Toy,2021-Nov-05 13:46:32.176637,MSFT,-100,336.850000,0.874544,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082036,,FILL
Toy,2021-Nov-05 13:48:54.965563,MSFT,-100,336.870000,0.874589,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082043,,FILL
Toy,2021-Nov-05 13:48:57.407269,MSFT,200,336.870000,0.240000,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082044,,FILL
Toy,2021-Nov-05 13:49:38.613455,MSFT,-100,336.590000,0.873962,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082045,,FILL
Toy,2021-Nov-05 13:50:00.149632,MSFT,-100,336.660000,0.874118,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082048,,FILL
Toy,2021-Nov-05 13:54:45.657134,CRM,1,307.500000,0.001200,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082059,,FILL
Toy,2021-Nov-05 13:54:45.666665,CRM,99,307.500000,0.118800,ADDED,0,,SIM-1001-101,dlariviere,NASDAQ,367709330082059,,FILL
